seq_index,seq_start_row,seq_start_time,recon_error,anomaly_flag
337,5392,2025-07-21 02:03:27.166,0.008683213,0
338,5408,2025-07-21 02:03:35.481,0.008682619,0
339,5424,2025-07-21 02:03:49.449,0.008686729,0
340,5440,2025-07-21 02:03:51.860,0.008679063,0
341,5456,2025-07-21 02:03:57.002,0.008684119,0
342,5472,2025-07-21 02:04:02.977,0.008685712,0
343,5488,2025-07-21 02:04:12.367,0.008689149,0
344,5504,2025-07-21 02:04:23.392,0.008688683,0
345,5520,2025-07-21 02:04:25.795,0.008691553,0
346,5536,2025-07-21 02:04:33.233,0.008702106,0
347,5552,2025-07-21 02:04:40.305,0.008688845,0
348,5568,2025-07-21 02:04:55.727,0.008679822,0
349,5584,2025-07-21 02:04:57.921,0.008690572,0
350,5600,2025-07-21 02:05:04.600,0.008682242,0
351,5616,2025-07-21 02:05:11.783,0.008681862,0
352,5632,2025-07-21 02:05:28.030,0.008681873,0
353,5648,2025-07-21 02:05:30.438,0.008683763,0
354,5664,2025-07-21 02:05:35.676,0.008683945,0
355,5680,2025-07-21 02:05:41.677,0.00868242,0
356,5696,2025-07-21 02:05:51.285,0.008689979,0
357,5712,2025-07-21 02:06:02.825,0.00868387,0
358,5728,2025-07-21 02:06:05.241,0.008692351,0
359,5744,2025-07-21 02:06:14.200,0.008701866,0
360,5760,2025-07-21 02:06:21.663,0.00869198,0
361,5776,2025-07-21 02:06:34.848,0.008683305,0
362,5792,2025-07-21 02:06:36.747,0.0086876545,0
363,5808,2025-07-21 02:06:43.369,0.008686437,0
364,5824,2025-07-21 02:06:51.700,0.008682707,0
365,5840,2025-07-21 02:07:40.503,0.008682642,0
366,5856,2025-07-21 02:07:42.442,0.008686848,0
367,5872,2025-07-21 02:07:47.958,0.008682682,0
368,5888,2025-07-21 02:07:55.381,0.008681547,0
369,5904,2025-07-21 02:08:03.239,0.00868949,0
370,5920,2025-07-21 02:08:14.920,0.008683453,0
371,5936,2025-07-21 02:08:20.277,0.008689609,0
372,5952,2025-07-21 02:08:26.473,0.008697812,0
373,5968,2025-07-21 02:08:33.833,0.008691648,0
374,5984,2025-07-21 02:09:52.392,0.008683186,0
375,6000,2025-07-21 02:09:54.829,0.008686823,0
376,6016,2025-07-21 02:10:01.522,0.00868951,0
377,6032,2025-07-21 02:10:09.389,0.00868187,0
378,6048,2025-07-21 02:10:39.791,0.008681656,0
379,6064,2025-07-21 02:10:41.741,0.008690741,0
380,6080,2025-07-21 02:10:47.328,0.008682663,0
381,6096,2025-07-21 02:10:54.735,0.008681474,0
382,6112,2025-07-21 02:11:04.468,0.008685746,0
383,6128,2025-07-21 02:11:14.176,0.008683836,0
384,6144,2025-07-21 02:11:19.290,0.008691191,0
385,6160,2025-07-21 02:11:24.971,0.008711325,0
386,6176,2025-07-21 02:11:32.484,0.0087013235,0
387,6192,2025-07-21 02:12:01.588,0.008687846,0
388,6208,2025-07-21 02:12:04.031,0.008721903,0
389,6224,2025-07-21 02:18:28.138,0.008780064,0
390,6240,2025-07-21 02:18:36.612,0.008781064,0
391,6256,2025-07-21 02:18:45.439,0.008788611,0
392,6272,2025-07-21 02:19:33.190,0.008759757,0
393,6288,2025-07-21 02:19:37.171,0.008743058,0
394,6304,2025-07-21 02:19:44.642,0.008796249,0
395,6320,2025-07-21 02:19:51.944,0.008782607,0
396,6336,2025-07-21 02:19:59.816,0.008774428,0
397,6352,2025-07-21 02:20:30.948,0.008747667,0
398,6368,2025-07-21 02:20:37.938,0.008766198,0
399,6384,2025-07-21 02:20:43.920,0.008797018,0
400,6400,2025-07-21 02:20:53.634,0.008794692,0
401,6416,2025-07-21 02:20:57.133,0.008766971,0
402,6432,2025-07-21 02:21:37.009,0.008710487,0
403,6448,2025-07-21 02:21:44.519,0.008686437,0
404,6464,2025-07-21 02:21:52.846,0.008682707,0
405,6480,2025-07-21 02:22:00.680,0.008682642,0
406,6496,2025-07-21 02:22:02.567,0.008702566,0
407,6512,2025-07-21 02:22:08.055,0.008768669,0
408,6528,2025-07-21 02:22:15.555,0.008792095,0
409,6544,2025-07-21 02:22:23.721,0.008793872,0
410,6560,2025-07-21 02:24:12.512,0.008763714,0
411,6576,2025-07-21 02:24:16.354,0.0087040095,0
412,6592,2025-07-21 02:24:23.153,0.008690342,0
413,6608,2025-07-21 02:24:31.106,0.008682701,0
414,6624,2025-07-21 02:24:38.946,0.008682427,0
415,6640,2025-07-21 02:24:40.895,0.00869074,0
416,6656,2025-07-21 02:24:46.538,0.008682663,0
